,Unnamed: 0,2) Why did the fire go out after spraying water on the lit iron?,Unnamed: 0,", ""20. If the kidney (kidney) has abnormal function, various diseases may occur, and in serious cases, death may occur. What does the kidney do in our body, so if something goes wrong, will the disease appear? Let's use our knowledge of kidney function to explain it in detail. "",q20_Ozoom,q20_Hormone,q20_Hormone,q20_Waste,q20_Reabsorption,q20_Waste.1,q20_Hormone.1,q20_Hormone.1,q20_Waste.1,q20_Waste.1"
407,407,ㅇ,407.0,"406, You get diabetes because of the inability to filter or reabsorption of glucose in your Bowman pocket, 0,0,0,1,,,,"
408,408,It's cold now,408.0,"407, The kidney is one of the excretory organs, and its representative function is to discharge harmful substances such as urea through urine, and if there is a problem with the kidney, it cannot filter out waste and must be dialysis.,0,0,0,1,0,,,,,"
409,409,The water is cooler in fire and water.,409.0,"408, The kidneys play a role in spreading salt evenly throughout the body. If there is an abnormality in this area, the whole body becomes swollen and blood pressure rises.,0,0,0,0,0,,,,,"
410,410,Oxygen is needed to burn the fire because water blocks oxygen.,410.0,"409,.,0,0,0,0,0,,,,,"
411,411,The fire is weak with water,411.0,"410, Strain waste into urine, 1,0,0,1,,,,"
412,412,This is because the temperature has decreased.,412.0,"411, angimochi, 0, 0, 0, 0, 0"
413,413,Because fire can be extinguished with water.,413.0,"412 ""Align sclerosis, because it filters waste from the cones,""0,0,1,0,,,,,,,"
414,414,The water digests the fire,414.0,"413, This is because the kidney is an important organ that discharges waste matter and plays an important role in blood pressure.,0,0,1,1,0,,,,,"
415,415,It's a scientific principle.,415.0,"414,""The function of the kidney can be summarized as: first, excretion to filter metabolites and waste into urine; second, biostatic maintenance to keep body water, electrolytes, and acidity constant within a narrow range; and third, endocrine function to produce and activate various hormones important for blood pressure, anemia correction and calcium and phosphorus.""0,1,1,0"
416,416,This is because water lowers the temperature of a hot fire.,416.0,"415,""The function of the kidneys can be summarized as: first, excretion to filter metabolites and wastes out to urine; second, biostatic maintenance to keep body water, electrolytes, and acidity constant within a narrow range; and third, endocrine function to produce and activate various hormones important for blood pressure, anemia, and calcium and phosphorus."",0,0,0,0,0,,,,,"
417,417,Because the water burns the fire?,417.0,"416, it doesn't release toxins into the body, 0, 0, 0, 1, 0"
418,418,This is because water blocks oxygen in the fire.,418.0,"417, Filter out the waste.,0,0,0,1,0,,,,,"
419,419,"Fire should have oxygen, but if you spray water, oxygen disappears and the fire goes out.",419.0,"418, The kidneys filter waste and release urine, but if there is an abnormality in it, it cannot discharge urine and nutrients are massed out.,0,0,0,1,0,,,,,"
420,420,"Air is needed to burn, but spraying water reduces oxygen and extinguishes the water.",420.0,"419, filter out the waste, 0, 0, 0, 1, 0"
421,421,I don't know.,421.0,"420, if there is something wrong with the kidney, you can use the red bean, 0, 0, 0, 0, 0,"
422,422,because of the nature of fire,422.0,"421, if there is something wrong with the red bean, you can use the red bean, 0, 0, 0, 0, 0"
423,423,"When you pour water, the air in the fire disappears and the fire goes out.",423.0,"422,""The function of the kidney is, first, the excretion function of filtering metabolites and waste into urine,""0,0,1,0,,,"
424,424,I met something cold,424.0,"423, filter waste from the blood, 0, 0, 0, 1,,,,"
425,425,The water blocks the fire,425.0,"424, it has the function of purifying the bad ingredients in our body, 0, 0, 0, 1, 0"
426,426,by cooling with water,426.0,"425, filter out the waste and send it out, 0, 0, 1, 0"
427,427,"Fire burns well when there is air, but when you pour water, oxygen disappears.",427.0,"426, it gets rid of the waste in the blood. However, if there is a kidney problem, you will get sick because you cannot play this role.,0,0,0,1,0,,,,,"
428,428,This is because water lowers the temperature of a hot fire.,428.0,"427, discharge waste. ,0,0,0,1,0,,,,,"
429,429,This is because the fire goes out quickly when the water touches it.,429.0,"428, waste cannot be discharged.,0,0,0,1,0,,,,,"
430,430,I can put out the fire with water,430.0,"429, the excretion function of excreting metabolites and nope substances into urine, 0,0,0,1,,,,,,"
431,431,Because water puts out the fire.,431.0,"430, It is responsible for removing and discharging toxic waste from the body, but when there is an abnormality, toxic waste accumulates in the body So disease occurs, 0, 0, 0, 1, 0"
432,432,The temperature that reached the ignition point went down,432.0,"431, an organ that excrete waste, 0, 0, 0, 1,"
433,433,"Because when you spray water, the air disappears in the spray due to pressure",433.0,"432, there are many kinds of bacteria, and they come in and nourish their hair, 0, 0, 0, 0,"
434,434,"Fire needs oxygen to catch fire, but it blocks oxygen",434.0,"433,Dialysis machine shall be used.,0,0,0,0,0,,,,,434, The kidneys change and filter the elements in the urine, 0, 0, 0, 1, 0"
435,435,Use water to extinguish the fire.,435.0,"435, It allows unnecessary waste to escape from the body.,0,0,0,1,0,,,,,"
436,436,Pour water over hot heat and cool it down,436.0,"436, as the disease moves to the side, the disease grows, and it is the gate, 0, 0, 0, 0,"
437,437,The fire goes out with water.,437.0,"437, It plays a role in filtering waste, so if there is an abnormality, waste accumulates in the body. 0,0,0,1,0,,,"
438,438,"When water is sprayed, oxygen used when it is burned is blocked, and when water is poured, the fire is extinguished.",438.0,"438, Since the waste is removed and the concentration of body fluid is adjusted, the waste cannot be removed without the kidneys, resulting in accumulation of waste.,0,0,1,1,0,,,,,"
439,439,The water killed the fire,439.0,"439,The kidneys filter out waste from the body.,0,0,0,1,0,,,,,"
440,440,The water makes the fire go out,440.0,"440, if you do something that requires a lot of physical strength, that's what happens"
441,441,Water blocks oxygen,441.0,"441 ""creates urine, wastes build up in the body"", 1,0,1,0,,,,,"
442,442,be blocked from oxygen,442.0,"442, because it filters out waste from the body from the kidneys and acts as excretion, 0, 0, 0, 1, 0"
443,443,Water can put out the fire,443.0,"443, The kidneys filter waste, but if this function is not performed, waste accumulates in the body.,0,0,0,1,0,,,,,"
444,444,Because the water has a lower temperature?,444.0,"444, filter out the noffe water, 0, 0, 0, 1, 0"
445,445,The water caused the temperature to go down and shut off oxygen,445.0,"445, Adonno, 0, 0, 0, 0,"
446,446,"In order to maintain the fire, air is needed or a substance to be burned, and when water is sprayed, the air is blocked and the fire is extinguished.",446.0,"446, it filters out toxins in the body, 0, 0, 0, 1, 0"
447,447,be caused by one's temperature,447.0,"447, Strain waste from the blood.,0,0,0,1,0,,,,,"
448,448,Fire goes out without oxygen,448.0,"448, filter out the waste, 0, 0, 0, 1,,,,"
449,449,Because it lowered the temperature.,449.0,"449, Strain waste out of the body.,0,0,0,1,0,,,,,"
450,450,This is because water has blocked the air needed to burn.,450.0,"450, diabetes, 0, 0, 0, 0, 0"
451,451,"When a fire catches fire, it needs temperature and oxygen above the ignition point, but when water is sprayed, the temperature decreases and oxygen is blocked, so the fire is extinguished.",451.0,"451, abnormalities in the urine, 0, 0, 0, 1, 0"
452,452,"Because the iron plate is cloth, it is easily extinguished when water is sprayed when it is on fire.",452.0,"452, urination function, 0,0,0,1,,,,"
453,453,It's because the temperature was lower than the ignition point where the fire started by spraying water,453.0,"453, Strain bodily waste and toxins If it's gone, it's almost dead, 0, 0, 1, 0"
454,454,Of course the fire goes out when it hits the water,454.0,"454, Since reabsorption of water occurs in the kidneys, there will be a problem with constancy control if reabsorption of water is not done properly.,0,0,0,0,1,,,,,"
455,455,"This is because when water is sprayed, it goes below the ignition point.",455.0,"455, detoxification, 0, 0, 0, 1,"
456,456,Fire goes down in the water,456.0,"456, kidneys are expensive, 0, 0, 0, 0, ,,,,"
457,457,Water can't hold fire,457.0,"457, an important role, 0, 0, 0, 0,"
458,458,Because the fire was caused by heat.,458.0,"458, The kidney is a good organ to filter out the body' It hurts a lot without it, 0, 0, 0, 1, 0"
459,459,Fire is weak with water,459.0,"459 ""The kidneys filter waste from our bodies through filtration, reabsorption, and secretion, but if there is an abnormality in the kidneys, this action is not properly carried out, resulting in accumulation of waste and disease."",0,0,0,1,1,,,,,"
460,460,Because he digested BLACKP,460.0,"460, reabsorb essential ingredients such as glucose and filter out residues such as urine.,0,0,0,1,1,,,,,"
461,461,"There was no fire-risk substance like oil around the iron, so it could quickly extinguish even if you pour water.",461.0,"461, I don't know, 0, 0, 0, 0, 0"
462,462,The water is cold,462.0,"462,Filter our body's nope water,0,0,1,,,,"
463,463,It's broken,463.0,"463, If ammonia is extremely high in concentration, it is difficult to produce urea. So I got sick. 0,0,0,0,0464, It filters out the body's waste, but if it is broken, it cannot be filtered, so it accumulates waste in the body, causing disease, 0, 0, 0, 1, 0"
464,464,"Since the fire is cold,",464.0,"465, in the kidney, it plays a role in filtering ammonia and waste synthesized as elements in the body. ,0,0,0,1,0,,,,,"
465,465,The heat went out,465.0,"466,You can develop a disease that accumulates toxins. It detoxifies and benefits the body.,0,0,0,1,0,,,,,"
466,466,Because water can turn off the fire.,466.0,"467, Since waste is discharged and necessary substances are reabsorbed again, if it is not done smoothly, various nutrients may be insufficient and diseases may occur.,0,0,0,1,1,,,,,"
467,467,Since it's off,467.0,"468, it filters out our body's waste, 0, 0, 0, 1, 0"
468,468,The water shut off the oxygen,468.0,"469,The kidney functions to remove waste from our body, but if the kidney malfunctions, it cannot remove waste and accumulates waste in the blood vessels, causing a lot of pain"
469,469,"If you spray water, the fire will go out",469.0,"470, it helps you digest smoothly.,0,0,0,0,0,,,,,"
470,470,Because they're different?,470.0,"471, it releases waste from our bodies.,0,0,0,1,0,,,,,"
471,471,I can turn it off with water,471.0,"472, the kidneys discharge waste generated from the body and play a role in controlling osmotic pressure and pH in the body. If the kidney is broken, the waste cannot be discharged first, so the whole body swells up and rotten water begins to flow out of the arms and legs over time. Additionally, if kidney disease is solved through surgery (renal transplantation), there is a high risk of complications. ,0,0,1,1,0,,,,,"
472,472,Fire is weak against water,472.0,"473, Since our body's waste plays a role in filtering and discharging, if there is a problem with the kidneys, there is a problem with the body. 0,0,0,1,0,,,,,"
473,473,I turn off the fire with water,473.0,"474,""The kidney functions to filter waste in the blood. If the function of filtering and discharging unnecessary substances to the outside of the body, or if the necessary substances are filtered and discharged out of the body, hemolytic uremic syndrome, proteinuria, and diabetes occur, respectively. There is a problem in controlling the concentration of substances in the body."",0,0,0,1,1,,,,,"
